movie_id,cluster,distance_from_centroid
163,8,0.6179635286989454
393,2,0.6898733740082963
416,5,0.5895122581706456
420,7,0.6079169725505194
459,2,0.6331723229517803
610,8,0.6700711112033505
656,2,0.5641003400124778
805,2,0.6971682239673733
862,2,0.7663113532657485
1007,9,0.5827719410301968
1017,8,0.5752883811907205
1184,6,0.7391591099014354
1196,4,0.7423865714149693
1202,5,0.6859014707148464
1220,3,0.49888906729377497
1219,3,0.44585959594708036
1223,6,0.5603587705339229
1228,0,0.6245760037167541
1229,5,0.5443657749744832
1231,3,0.4451597395142104
1230,4,0.7360687797019779
1234,1,0.5997754558717665
1236,5,0.57953619677974
1237,6,0.5650881081706461
1239,5,0.538597443300781
1240,3,0.439238338655003
1242,5,0.5432800774965765
1243,5,0.48565245775167265
1260,9,0.4939679144888594
1310,2,0.6109288773303113
1374,6,0.7233028909204011
1382,0,0.6320585156924142
1384,2,0.7245484447799502
1399,3,0.6320332798251209
1421,2,0.661766672837123
1428,3,0.4852774760400826
1435,1,0.5853028414423042
1470,2,0.7233934272217041
1474,2,0.6694638451694895
1558,8,0.7057876752823272
1731,4,0.8306654253178238
1758,7,0.512590735858574
2004,2,0.7154524493008503
2011,2,0.6925800784487884
2017,2,0.7125472073513957
2021,6,0.7597760524215718
2032,4,0.719867941835837
2042,4,0.7089063520428945
2084,6,0.6726779993408095
2091,0,0.6324181070142116
2123,5,0.6587068437094719
2222,2,0.6405809731872849
2225,5,0.7135990463385464
2354,6,0.6256656732418783
2737,2,0.7723591170325833
2856,4,0.760293819690915
3170,0,0.5145771036646604
3172,2,0.6375340504536803
3181,0,0.753306461168032
3192,1,0.7015699014841982
3202,5,0.6547068457004712
3207,1,0.7493253336292566
804,2,0.665751217213931
3323,3,0.9134833313430011
4106,8,0.6271388752638175
4627,8,0.6054283306089394
5501,1,0.8626994781634417
6633,8,0.6598598696745386
7021,1,0.6115171247090635
7029,1,0.8769597812846504
7034,1,0.599673641516314
7041,2,0.6122378766061186
7042,6,0.6876184124411746
7046,5,0.5824645258734982
7053,6,0.9304476600202846
7056,4,0.8118757226340916
7062,2,0.686790701399489
7187,2,0.706293006615556
7192,5,0.675472699994379
7451,2,0.7042943096900183
7469,2,0.6790317637710606
7470,2,0.701985311283987
7471,2,0.7077974541338716
7473,2,0.6612343283153698
7475,6,0.7036599702907602
7502,7,0.5807815609048679
7534,2,0.7231917914569118
7531,2,0.6895726602103027
7618,1,0.8152122532304747
7634,5,0.6513968740009877
8234,6,0.6944505179630384
8279,3,0.711999275946435
8426,2,0.7496261704162219
8509,1,0.9125647319152767
8637,9,0.5021693883564607
8727,2,0.6636140128884733
8844,2,0.6644095646934151
